"date","zone","tow.id","tow.number","valid","duration","longitude","latitude","loran.x","loran.y","loran.x.start.logbook","loran.x.end.logbook","loran.y.start.logbook","loran.y.end.logbook","start.time.logbook","end.time.logbook","depth.fathom","bottom.temperature","swept.area","sampler","comment"
"1988-08-07","12","S88013",3,1,"",NA,NA,15053.7,30415.5,NA,NA,NA,NA,"12:45:00","        ",NA,0.05,2412,"MARCEL HEBERT,RENALD HACHE, PIERRE DEGRACE","Fond tres dur; quelques roches(5)On a trouve un estomac de morue avec 3 petit crabe des neige; 15-25-25 et un hyas 30mm"
"1988-08-07","12","S88014",4,1,"",NA,NA,15046,30365,NA,NA,NA,NA,"14:15:00","        ",40,0.4,2412,"MARCEL HEBERT, RENALD HACHE,PIERRE DEGRACE",""
"1988-08-07","12","S88015",5,1,"",NA,NA,NA,NA,15030.7,15031.9,30302.6,30303.3,"16:10:00","        ",NA,0.5,2412,"MARCEL HEBERT, RENALD HACHE,PIERRE DEGRACE",""
"1988-08-07","12","S88016",6,1,"",NA,NA,NA,NA,15049.7,15051.9,30298.5,30299.5,"17:30:00","        ",65,NA,2412,"MARCEL HEBERT, PIERRE DEGRACE","On a pris 3 cailloux; ete chanceux de ne pas briser"
"1988-08-07","12","S88017",7,1,"",NA,NA,NA,NA,15068.1,15069.1,30370.4,30372.5,"18:30:00","        ",65,NA,2412,"MARCEL HEBERT, RENALD HACHE,PIERRE DEGRACE","fond dur; roche 5-10 cm"
"1988-08-09","12","S88018",1,1,"",NA,NA,NA,NA,14991,14992,30207.7,30207.4,"07:00:00","        ",52,0.01,2412,"MARCEL HEBERT, RENALD HACHE,PIERRE DEGRACE",""
"1988-08-09","12","S88019",2,1,"",NA,NA,NA,NA,14975.9,14976.6,30157.4,30157.6,"08:00:00","        ",48,0.1,2412,"RENALD HACHE",""
"1988-08-09","12","S88020",3,1,"",NA,NA,NA,NA,14956.4,14957.3,30093.9,30093.1,"09:00:00","        ",46,0,2412,"MARCEL HEBERT, PIERRE DEGRACE",""
"1988-08-09","12","S88021",4,1,"4:30",NA,NA,NA,NA,14949.6,14951,30010.2,30012.9,"10:30:00","        ",NA,0.1,2412,"RENALD HACHE","On a ete obliger de lever a 4:30 minute a cause des roches"
"1988-08-09","12","S88022",5,0,"",NA,NA,NA,NA,14929,14930,29926,29927,"11:45:00","        ",37,0.2,NA,"",""
"1988-08-09","12","S88023",6,1,"",NA,NA,NA,NA,14929.5,14929.6,29917.2,29913.4,"12:25:00","        ",36,0.2,2412,"RENALD HACHE",""
"1988-08-09","12","S88024",7,1,"",NA,NA,NA,NA,14911.6,14911.9,29827.1,29825.3,"14:00:00","        ",48,0,2412,"RENALD HACHE","La distance entre les ailes etait de 7.5 ms"
"1988-08-09","12","S88025",8,1,"",NA,NA,NA,NA,14909.2,14901.8,29767.2,29764.3,"15:55:00","        ",46,0,2412,"MARCEL HEBERT, RENALD HACHE,PIERRE DEGRACE","Distance entre les ailes a varier entre 6;4 et 9;2 ms"
"1988-08-09","12","S88026",9,1,"",NA,NA,NA,NA,14881.8,14881.8,29644,29639.7,"17:30:00","        ",NA,0.1,2412,"MARCEL HEBERT","Distance entre les ailess de 5;9 m au debut puis 7 ms"
"1988-08-09","12","S88027",10,1,"",NA,NA,NA,NA,14880.6,14880.3,29609.5,29603.4,"18:15:00","        ",50,0.7,2412,"MARCEL HEBERT, RENALD HACHE","La distance a varie entre 5;7 et 7 m; la hauteur etait de 2;3 m"
"1988-08-09","12","S88028",11,0,"",NA,NA,NA,NA,14871.5,14871.3,29525.8,29528.3,"19:15:00","        ",NA,0.7,NA,"",""
"1988-08-09","12","S88029",12,1,"",NA,NA,NA,NA,14873,14873.1,29519.7,29515,"20:00:00","        ",42,0.7,2412,"MARCEL HEBERT, PIERRE DEGRACE",""
"1988-08-09","12","S88030",13,1,"",NA,NA,NA,NA,14886.6,14886.1,29515.6,29518.5,"20:50:00","        ",55,NA,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-09","12","S88031",14,1,"",NA,NA,NA,NA,14896.5,14897.7,29584.3,29584.8,"21:20:00","        ",48,0.2,2412,"PIERRE DEGRACE, RENALD HACHE",""
"1988-08-10","12","S88032",1,1,"",NA,NA,NA,NA,14926.9,14927.8,29679.1,29677.9,"07:00:00","        ",42,0.6,2412,"RENALD HACHE",""
"1988-08-10","12","S88033",2,1,"",NA,NA,NA,NA,14929.3,14930.3,29730.5,29727.3,"08:15:00","        ",50,0.6,2412,"RENALD HACHE","Largeur entre les ailes; 5;4m au debut du trait; apres une minute 6;0 - 6;4 m "
"1988-08-10","12","S88034",3,1,"",NA,NA,NA,NA,14929.3,14930.3,29730.5,29727.3,"09:25:00","        ",52,0.6,2412,"RENALD HACHE","Distance entre les ailes debut du trait 5;4 m et la distance a varier entre 5;5 et 6;1 durant le trait. Hauteur du chalut 1;9-2;0 m "
"1988-08-10","12","S88035",4,0,"",NA,NA,NA,NA,14959.7,14960.1,29819.3,29816.4,"10:45:00","        ",51,NA,NA,"",""
"1988-08-11","12","S88036",1,1,"",NA,NA,NA,NA,14991.8,14992.8,30307.8,30302,"08:30:00","        ",55,1,2412,"RENALD HACHE","Le fond est tres vaseux d'apres les portes. Le chalut ouvre plus a cause du fond qui est mou et les portes cherche a ouvrir. Le scanmar donne 6 m au debut du trait puis 8;0-8;3 entre les ailes. Hauteur du chalut d'apres le scanmar 2;0 m "
"1988-08-11","12","S88037",2,1,"",NA,NA,NA,NA,14954.2,14954.3,30240.9,30239.8,"10:00:00","        ",35,0.2,2412,"PIERRE DEGRACE, RENALD HACHE","On a perdu le signal du scanmar. Le chalut a accroche a la fin du trait; le coup est bon."
"1988-08-11","12","S88038",3,1,"",NA,NA,NA,NA,14962.5,14963.3,30325.3,30322.9,"11:50:00","        ",45,0.4,2412,"RENALD HACHE","Le scanmar indique 6;0 m "
"1988-08-11","12","S88039",4,1,"",NA,NA,NA,NA,14990.9,14991.7,30409.7,30408.2,"        ","        ",49,0.2,2412,"MARCEL HEBERT, PIERRE DEGRACE","Distance entre les ailes 5;3 au debut et apres 8;2-9;0. hauteur 1;8 metre"
"1988-08-11","12","S88040",5,1,"",NA,NA,NA,NA,14996.7,14996.5,30470.2,30467.9,"14:10:00","        ",44,0.2,2412,"RENALD HACHE","Le scanmar nous a donne 4;0 au debut puis 9;2-10;0 m"
"1988-08-17","12","S88041",1,1,"4:00",NA,NA,NA,NA,14981.2,14982.5,30548.8,30553.6,"13:35:00","        ",36,1,2412,"MARCEL HEBERT, RENALD HACHE","Seulement chalute 4 minutes; il y a beaucoup de filets a morue"
"1988-08-17","12","S88042",2,1,"",NA,NA,NA,NA,14966.8,14967.9,30498.8,30503.8,"15:00:00","        ",43,0.5,2412,"MARCEL HEBERT, RENALD HACHE","Scanmar- 5;0 m au debut. 6;3; 7;6; 9;3 m. Hauteur 3;3 m"
"1988-08-17","12","S88043",3,1,"",NA,NA,NA,NA,14955.2,14956.9,30416.2,30420.9,"16:15:00","        ",44,0.2,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-17","12","S88044",4,0,"",NA,NA,NA,NA,14945.8,14946.9,30326,30330.1,"17:30:00","        ",40,0.2,NA,"",""
"1988-08-17","12","S88045",5,0,"",NA,NA,NA,NA,14948.7,14949.5,30314.6,30319.2,"19:40:00","        ",40,0.2,NA,"",""
"1988-08-17","12","S88046",6,1,"",NA,NA,NA,NA,14922.8,14923.9,30236.3,30237.2,"20:00:00","        ",45,0.1,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-18","12","S88047",1,1,"",NA,NA,NA,NA,15082.5,15081.6,30584.8,30584,"06:30:00","        ",60,0.5,2412,"MARCEL HEBERT, RENALD HACHE","Fond vaseux avec ophiures"
"1988-08-18","12","S88048",2,1,"",NA,NA,NA,NA,15092.4,15091.3,30665.3,30665.3,"08:00:00","        ",52,0.2,2412,"MARCEL HEBERT, RENALD HACHE","Grosse poche d'ophiure"
"1988-08-18","12","S88049",3,1,"",NA,NA,NA,NA,15096.8,15097.8,30728.5,30729.7,"09:45:00","        ",51,0.6,2412,"MARCEL HEBERT, RENALD HACHE","meme me chose que le trait precedent"
"1988-08-18","12","S88050",4,1,"",NA,NA,NA,NA,15094.5,15093.4,30591,30589,"12:00:00","        ",42,0.5,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-18","12","S88051",5,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"13:15:00","        ",NA,NA,NA,"",""
"1988-08-19","12","S88052",1,1,"",NA,NA,NA,NA,15098.7,15097.5,30455.7,30451.7,"08:25:00","        ",40,0.6,2412,"MARCEL HEBERT, RENALD HACHE","C'est incroyable la quantite de crabe a cette station"
"1988-08-20","12","S88053",1,1,"",NA,NA,NA,NA,15079.6,15079.9,30705,30700.2,"08:00:00","        ",45,0.7,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-20","12","S88054",2,1,"",NA,NA,NA,NA,15084.4,15084.4,30760.5,30757.2,"09:15:00","        ",45,0.8,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-20","12","S88055",3,1,"",NA,NA,NA,NA,15101.8,15101.5,30833.5,30828.4,"10:20:00","        ",46,0.6,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-20","12","S88056",4,1,"",NA,NA,NA,NA,15086.7,15085.5,30862.3,30862.5,"12:00:00","        ",37,0.6,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-20","12","S88057",5,1,"",NA,NA,NA,NA,15105,15104.1,30925.7,30919.9,"13:30:00","        ",45,0.8,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-21","12","S88058",1,1,"",-6534.8640002,4753.241,NA,NA,15140.6,15139.2,31194.1,31194.2,"07:15:00","        ",28,0.5,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-21","12","S88059",2,1,"",NA,NA,NA,NA,15126.7,15126,31087.4,31081.1,"09:00:00","        ",25,0.6,2412,"MARCEL HEBERT, RENALD HACHE","Belle poche; beaucoup d'ophiures"
"1988-08-21","12","S88060",3,1,"",NA,NA,NA,NA,15111.9,15110.7,31030.9,31029.4,"10:15:00","        ",40,0.5,2412,"MARCEL HEBERT, RENALD HACHE","Fond vaseux; vase dans la poche; beaucoup d'ophiure."
"1988-08-21","12","S88061",4,1,"",NA,NA,NA,NA,15101.3,15100.4,30988.6,30983.4,"11:00:00","        ",40,0.5,2412,"MARCEL HEBERT, RENALD HACHE","Belle poche"
"1988-08-21","12","S88062",5,1,"",NA,NA,NA,NA,15084.8,15084.7,30529.3,30533.7,"16:00:00","        ",60,1.1,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-22","12","S88063",1,1,"",NA,NA,NA,NA,15094.1,15093.3,30407.4,30407.6,"08:20:00","        ",53,0.9,2412,"MARCEL HEBERT, RENALD HACHE","Beau fond"
"1988-08-22","12","S88064",2,1,"",-6407.65,4840.35,NA,NA,15108.9,15108.2,30408.7,30408.5,"10:00:00","        ",58,NA,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-22","12","S88065",3,1,"",-6417.3599998,4846.3150002,NA,NA,15130.1,15139,30470,30467.8,"12:00:00","        ",36,1.1,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-23","12","S88066",1,1,"",NA,NA,NA,NA,15014.7,15014.1,30238,30237.1,"07:30:00","        ",50,0.4,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-23","12","S88067",2,1,"",NA,NA,NA,NA,15028.4,15027.2,30180.3,30175.8,"09:10:00","        ",50,0.3,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-23","12","S88068",3,1,"",NA,NA,NA,NA,15046.5,15044.8,30173.8,30169.9,"09:35:00","        ",70,0.8,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-23","12","S88069",4,1,"",NA,NA,NA,NA,15004.3,15007.4,29962,29963.6,"13:00:00","        ",47,0.5,2412,"MARCEL HEBERT, RENALD HACHE","Beaucoup de petoncle d'islande; presque seulement ca dans la poche; 3 crate et seulement 3 sceaus de vivante"
"1988-08-23","12","S88070",5,1,"",NA,NA,NA,NA,14969.9,14969.8,29828.4,29833.7,"15:00:00","        ",76,0.1,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-23","12","S88071",6,1,"",NA,NA,NA,NA,14974.4,14974.3,29885.5,29889.9,"16:00:00","        ",42,0.5,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-23","12","S88072",7,1,"",NA,NA,NA,NA,14962.1,14962.4,29882.8,29885.1,"17:00:00","        ",44,0.3,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-23","12","S88073",8,1,"",NA,NA,NA,NA,14971.3,14971.6,29963.4,29968.9,"18:00:00","        ",38,0.5,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-24","12","S88074",1,1,"",NA,NA,NA,NA,14896.1,14895.9,29908,29912,"06:30:00","        ",39,0.2,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-24","12","S88075",2,1,"",NA,NA,NA,NA,14901.6,14900.5,29980.3,29981.2,"08:00:00","        ",35,0.1,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-24","12","S88076",3,1,"",NA,NA,NA,NA,14920.3,14920.7,30092.2,30098.5,"09:40:00","        ",44,0.1,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-30","12","S88077",1,1,"",NA,NA,NA,NA,15068.4,15068,30448.5,30443.7,"08:30:00","        ",50,1.2,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-30","12","S88078",2,1,"",NA,NA,NA,NA,15076.4,15077,30303.7,30300.7,"10:30:00","        ",86,0.6,2412,"MARCEL HEBERT, RENALD HACHE","Belle poche"
"1988-08-30","12","S88079",3,1,"",NA,NA,NA,NA,15094.2,15095.3,30320.6,30320.5,"12:00:00","        ",70,0.6,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-31","12","S88080",1,0,"",NA,NA,NA,NA,14941.4,14950.4,30151.6,30150.4,"07:00:00","        ",NA,0.1,NA,"",""
"1988-08-31","12","S88081",2,1,"",NA,NA,NA,NA,14933,14931.5,30144,30142.6,"08:00:00","        ",44,0,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-31","12","S88082",3,1,"3:00",NA,NA,NA,NA,14919.1,14917.9,30152.3,30152.2,"09:10:00","        ",42,0,2412,"MARCEL HEBERT, RENALD HACHE","Le trait a ete de 3 minutes puisque le chalut a bloque d'un coup sec. Le coup est bon."
"1988-08-31","12","S88083",4,1,"",NA,NA,NA,NA,14907.3,14905.7,30118.2,30112.3,"10:00:00","        ",46,0,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-31","12","S88084",5,1,"",NA,NA,NA,NA,14885.4,14884,30019.7,30016,"11:20:00","        ",41,0,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-31","12","S88085",6,0,"",NA,NA,NA,NA,14886.2,14885.2,29946.8,29943.4,"12:20:00","        ",40,0,NA,"",""
"1988-08-31","12","S88086",7,1,"",NA,NA,NA,NA,14881.7,14880.7,29919,29915.9,"13:15:00","        ",39,0,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-31","12","S88087",8,1,"",NA,NA,NA,NA,14871.3,14869.8,29869.5,29867.9,"14:10:00","        ",39,0,2412,"MARCEL HEBERT, RENALD HACHE","Grosse poche de morue; 3 crates"
"1988-08-31","12","S88088",9,1,"",NA,NA,NA,NA,14876.9,14874.7,29839.3,29837.6,"15:30:00","        ",38,0,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-31","12","S88089",10,1,"",NA,NA,NA,NA,14865.7,14864.1,29749,29746.7,"17:00:00","        ",36,0,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-31","12","S88090",11,1,"",NA,NA,NA,NA,14858.2,14856.7,29699.3,29697,"17:45:00","        ",40,0,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-31","12","S88091",12,1,"",NA,NA,NA,NA,14836.8,14835,29696.2,29694,"19:00:00","        ",40,0,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-08-31","12","S88092",13,1,"",NA,NA,NA,NA,14827.4,14826.8,29742.4,29739.2,"19:40:00","        ",41,0,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-01","12","S88093",1,0,"",NA,NA,NA,NA,14821.9,14822,29623,29618.1,"06:15:00","        ",34,0.1,NA,"",""
"1988-09-01","12","S88094",2,1,"",NA,NA,NA,NA,14825.1,14824.8,29627,29621.9,"07:40:00","        ",36,0.4,2412,"MARCEL HEBERT, RENALD HACHE","Fond tres dur"
"1988-09-01","12","S88095",3,0,"",NA,NA,NA,NA,14815,14813,29745.1,29741.1,"08:40:00","        ",40,0.1,NA,"",""
"1988-09-01","12","S88096",4,1,"",NA,NA,NA,NA,14815,14813,29745.1,29741.1,"10:45:00","        ",40,0.3,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-01","12","S88097",5,1,"",NA,NA,NA,NA,14802.4,14800.5,29725.2,29722.8,"12:30:00","        ",41,0.1,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-01","12","S88098",6,1,"",NA,NA,NA,NA,14783.8,14782.8,29642.6,29640.4,"14:00:00","        ",33,0.1,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-02","12","S88099",1,1,"",NA,NA,NA,NA,14596.2,14595.9,29468.8,29463.8,"11:10:00","        ",32,1,2412,"MARCEL HEBERT, RENALD HACHE","5 crates d'oursins"
"1988-09-02","12","S88100",2,1,"",NA,NA,NA,NA,14576.2,14577.6,29335.1,29335.9,"12:45:00","        ",34,1.2,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-03","12","S88101",1,0,"",NA,NA,NA,NA,14575.9,14574.5,29265.7,29261.7,"08:30:00","        ",36,1.2,NA,"",""
"1988-09-04","12","S88102",1,1,"",NA,NA,NA,NA,14573.5,14571.8,29261.1,29257.5,"10:45:00","        ",38,1.2,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-04","12","S88103",2,1,"",NA,NA,NA,NA,14552.1,14550.8,29301.8,29297.8,"12:00:00","        ",40,1,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-04","12","S88104",3,1,"",NA,NA,NA,NA,14550.2,14548.9,29347.8,29344,"12:45:00","        ",40,0.6,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-04","PE","S88105",4,1,"",NA,NA,NA,NA,14556.1,14555,29446.8,29441.2,"14:15:00","        ",47,0.5,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-04","12","S88106",5,1,"",NA,NA,NA,NA,14589.9,14588.5,29520.7,29516.7,"15:30:00","        ",42,0.7,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-04","12","S88107",6,0,"",NA,NA,NA,NA,14601.5,14600.6,29517.9,29514.4,"16:15:00","        ",33,0.8,NA,"",""
"1988-09-04","12","S88108",7,0,"",NA,NA,NA,NA,14600.2,14600.7,29514.5,29512,"16:35:00","        ",32,0.8,NA,"",""
"1988-09-17","PE","S88109",1,1,"",NA,NA,NA,NA,14596.6,14595,29599.9,29599.2,"07:00:00","        ",36,0.5,2412,"MARCEL HEBERT, RENALD HACHE","1 gros caillou"
"1988-09-17","12","S88110",2,1,"",NA,NA,NA,NA,14615.5,14613.8,29626.4,29625.5,"08:10:00","        ",38,0.6,2412,"MARCEL HEBERT, RENALD HACHE","2 gros cailloux"
"1988-09-17","12","S88111",3,1,"",NA,NA,NA,NA,14627.7,14626,29685.5,29684.4,"09:20:00","        ",35,0.5,2412,"MARCEL HEBERT, RENALD HACHE","1 gros cailloux"
"1988-09-17","12","S88112",4,1,"",NA,NA,NA,NA,14614.6,14613,29602.3,29603.1,"        ","        ",37,0.9,2412,"MARCEL HEBERT, RENALD HACHE","1 tonne de roche plate et environ 1 pieds de diametre"
"1988-09-17","PE","S88113",5,1,"",NA,NA,NA,NA,14622.9,14621,29778.3,29777.5,"11:20:00","        ",33,1.3,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-17","PE","S88114",6,1,"",NA,NA,NA,NA,14639.8,14638.4,29811.2,29810.7,"12:20:00","        ",35,1.1,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-18","PE","S88115",1,0,"",NA,NA,NA,NA,14647.6,14646.4,29849.6,29851,"09:00:00","        ",32,1.7,NA,"",""
"1988-09-18","PE","S88116",2,0,"",NA,NA,NA,NA,14657.8,14656.3,29887.6,29885.8,"09:50:00","        ",34,1.2,NA,"",""
"1988-09-18","PE","S88117",3,1,"",NA,NA,NA,NA,14640.5,14638.5,29903.7,29902.5,"11:00:00","        ",30,1.2,2412,"MARCEL HEBERT, RENALD HACHE","3 cailloux moyens"
"1988-09-18","PE","S88118",4,0,"",NA,NA,NA,NA,14649.9,14647.9,29949.4,29944,"12:15:00","        ",31,1,NA,"",""
"1988-09-18","PE","S88119",5,1,"",NA,NA,NA,NA,14701.4,14701.1,30070.3,30073,"15:00:00","        ",34,2,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-19","12","S88120",1,1,"",NA,NA,NA,NA,14890.2,14891.9,30188.5,30191.6,"07:00:00","        ",42,1.1,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-19","12","S88121",2,1,"",NA,NA,NA,NA,14905.3,14906.9,30264.7,30267.4,"08:00:00","        ",40,1.4,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-19","12","S88122",3,1,"",NA,NA,NA,NA,14907.4,14908.7,30330.4,30332.7,"09:00:00","        ",38,1.4,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-19","12","S88123",4,1,"",NA,NA,NA,NA,14913.2,14914.3,30399.5,30401,"10:20:00","        ",34,2,2412,"MARCEL HEBERT, RENALD HACHE","3 petits caillou"
"1988-09-19","12","S88124",5,1,"",NA,NA,NA,NA,14946.3,14947,30500.7,30501.7,"        ","        ",NA,1.4,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-26","12","S88125",1,1,"",NA,NA,NA,NA,14920,14920,30570.7,30567.3,"13:30:00","        ",33,2.5,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-26","12","S88126",2,1,"",NA,NA,NA,NA,14880.2,14881.2,30484.7,30486.2,"15:15:00","        ",21,5.3,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-09-26","12","S88127",3,1,"",NA,NA,NA,NA,14864.9,14864.9,30470.2,30468.3,"16:00:00","        ",22,4.4,2412,"RENALD HACHE","2 cailloux; 1 de 30 cm et 1 de 45 cm"
"1988-09-27","PE","S88128",1,1,"",NA,NA,NA,NA,14737.6,14735.8,30409.5,30408.1,"08:45:00","        ",18,6,2412,"RENALD HACHE",""
"1988-09-27","PE","S88129",2,1,"",NA,NA,NA,NA,14790.1,14789,30391.2,30388,"10:35:00","        ",26,3.8,2412,"RENALD HACHE",""
"1988-09-27","PE","S88130",3,1,"",NA,NA,NA,NA,14766.5,14764.9,30318.8,30314.7,"12:00:00","        ",25,2.2,2412,"MARCEL HEBERT, RENALD HACHE","3 cailloux de 30 cm de diametre"
"1988-09-27","PE","S88131",4,1,"",NA,NA,NA,NA,14741.2,14739.7,30330.3,30328,"13:00:00","        ",24,3.7,2412,"RENALD HACHE","4 gros cailloux 30-45 cm"
"1988-10-03","12","S88132",1,1,"",NA,NA,NA,NA,15034.8,15034.4,30572.2,30570.1,"18:00:00","        ",12,7.9,2412,"MARCEL HEBERT, RENALD HACHE","20 roches 15-30 cm"
"1988-10-03","12","S88133",2,1,"",NA,NA,NA,NA,15024.8,15023.5,30579.8,30576.7,"18:45:00","        ",14,7.8,2412,"RENALD HACHE","5 crates de sand dollard"
"1988-10-04","12","S88134",1,1,"",NA,NA,NA,NA,14857.8,14855.8,30342.1,30340.8,"07:00:00","        ",35,1.1,2412,"MARCEL HEBERT, RENALD HACHE","3 gros cailloux 90 cm de diametre"
"1988-10-04","12","S88135",2,1,"",NA,NA,NA,NA,14876.9,14875.7,30521.3,30522,"09:45:00","        ",20,1.8,2412,"RENALD HACHE",""
"1988-10-04","12","S88136",3,1,"",NA,NA,NA,NA,14887.4,14885.3,30601.1,30601.3,"10:45:00","        ",26,2,2412,"RENALD HACHE",""
"1988-10-04","12","S88137",4,1,"",NA,NA,NA,NA,14930.2,14928.5,30592.3,30594,"12:45:00","        ",33,3,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-10-04","12","S88138",5,1,"",NA,NA,NA,NA,14944.4,14943,30592.1,30595.5,"13:40:00","        ",33,4,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-10-07","12","S88139",1,1,"",NA,NA,NA,NA,14845.5,14843.7,30369.1,30366.3,"14:15:00","        ",33,NA,2412,"MARCEL HEBERT, RENALD HACHE",""
"1988-10-07","12","S88140",2,1,"",NA,NA,NA,NA,14833.9,14831.8,30297.4,30295.7,"15:25:00","        ",35,0.9,2412,"MARCEL HEBERT, RENALD HACHE",""
